country,year,overall_index,trade_score,financial_score,labor_score,infrastructure_score,sustainability_score,convergence_score,integration_level,method
GCC,2015,46.4301,36.723600000000005,45.3492,38.2018,57.4941,49.6096,59.193400000000004,Moderate,gdp
BHR,2015,59.04,71.68,62,49.63,49.01,78.25,47.54,Moderate,NA
ARE,2015,52.92,47.66,47.3,52.18,59.38,52.73,63.47,Moderate,NA
QAT,2015,50.13,41.46,55.06,74.02,50.71,25.58,33.27,Moderate,NA
KWT,2015,47.04,29.2,51.57,74.36,41.77,26.97,49.62,Moderate,NA
SAU,2015,43.38,30.3,40.68,20.12,65.09,56.63,64.84,Moderate,NA
OMN,2015,41.16,53.46,51.32,42.76,10.25,38.16,57.84,Moderate,NA
GCC,2016,44.9029,36.2385,43.0248,36.3372,49.0642,58.5225,61.210300000000004,Moderate,gdp
BHR,2016,60.78,76.61,64.64,48.1,47.27,87.3,47.28,Good,NA
ARE,2016,53.25,48.41,45.82,51.86,57.87,57.3,67.33,Moderate,NA
KWT,2016,49.77,31.8,57.9,72.45,41.77,40.28,49.6,Moderate,NA
QAT,2016,49.72,41.04,48.22,75.43,47.84,33.76,38.45,Moderate,NA
OMN,2016,40.73,50,48.75,42.89,12.03,43.06,56.96,Moderate,NA
SAU,2016,40.15,29,37.55,16.88,50.76,66.91,66.23,Moderate,NA
GCC,2017,44.0437,35.9812,46.11410000000001,33.7945,46.0149,53.4286,63.2105,Moderate,gdp
BHR,2017,60.52,72.53,68.09,47.35,50.55,87.13,41.01,Good,NA
ARE,2017,51.94,48.47,44.39,46.87,57.12,55.92,69.78,Moderate,NA
KWT,2017,48.86,32.77,55.49,72.78,41.99,34.57,47.99,Moderate,NA
QAT,2017,47.24,31.47,50.95,70.23,45.14,27.86,48.99,Moderate,NA
OMN,2017,41.7,67.3,42.59,34.42,12.84,41.87,60.86,Moderate,NA
SAU,2017,39.59,28.86,43.9,15.77,45.79,60.25,67.02,Weak,NA
GCC,2018,42.6268,37.712900000000005,44.83070000000001,32.1781,43.8355,42.85810000000001,66.3163,Moderate,gdp
BHR,2018,58.8,70,66.5,46.71,50.37,79.81,41.02,Moderate,NA
ARE,2018,52.05,60.11,45.07,41.46,55.31,44.3,72.31,Moderate,NA
KWT,2018,49.41,34.35,64.41,70.25,40.05,25.19,50.74,Moderate,NA
OMN,2018,44.96,68.99,47.65,41.65,13.89,35.2,70.04,Moderate,NA
QAT,2018,43.05,21.9,51.66,61.35,43.62,22.02,51.43,Moderate,NA
SAU,2018,37.5,29.61,39.49,16.21,42.95,48.45,70.07,Weak,NA
GCC,2019,43.8,34.3187,51.9701,31.171300000000002,44.8815,49.626400000000004,63.6863,Moderate,gdp
BHR,2019,59.64,68.07,73.49,46.16,47.59,82.66,43.11,Moderate,NA
ARE,2019,53.99,60.08,56.09,35.36,55.63,54.68,70.85,Moderate,NA
KWT,2019,50.16,33.97,60.2,77.44,40.13,29.01,49.18,Moderate,NA
OMN,2019,43.72,60.57,47.76,42.21,15.13,37.74,68.12,Moderate,NA
QAT,2019,40.88,8.3,56.12,54.2,45.86,26.32,53.52,Moderate,NA
SAU,2019,39.37,27.06,48.12,16.84,44.27,55.42,65.7,Weak,NA
GCC,2020,41.3965,38.1944,44.7153,33.9786,28.2866,64.61789999999999,58.983700000000006,Moderate,gdp
BHR,2020,57.6,73.09,74.7,45.75,25.5,95.04,42.87,Moderate,NA
KWT,2020,52.96,32.85,57.99,79.71,41.7,49.41,55.62,Moderate,NA
ARE,2020,52.34,63.33,51.88,36.87,41,68.71,68.51,Moderate,NA
OMN,2020,45.38,72.74,51.69,43.39,7.17,44.44,59.41,Moderate,NA
QAT,2020,41.56,17.34,47.99,54.25,42.66,37.19,53.93,Moderate,NA
SAU,2020,34.95,30.05,37.93,20.99,21.09,71.63,57.74,Weak,NA
GCC,2021,42.8685,35.7341,49.9453,38.3974,32.9951,53.326800000000006,61.1865,Moderate,gdp
BHR,2021,60.71,73.55,76.62,52.12,36.39,91.39,38.39,Good,NA
KWT,2021,52.35,29.39,55.13,79.6,50,39.83,55.42,Moderate,NA
ARE,2021,51.51,65.13,55.01,33.37,42.45,54.7,68.47,Moderate,NA
OMN,2021,45.19,72.03,50.48,44.42,8.52,38.31,62.72,Moderate,NA
QAT,2021,43.59,6.82,53.01,67.07,49.78,27.11,55.38,Moderate,NA
SAU,2021,37.5,27.61,45.81,27.36,26,60.04,61.36,Weak,NA
GCC,2022,46.77850000000001,37.418000000000006,52.8361,40.0864,52.614799999999995,44.061800000000005,57.8396,Moderate,gdp
BHR,2022,59.48,74,70.1,44.6,48.49,83.38,37.04,Moderate,NA
ARE,2022,49.61,63.7,54.2,31.95,42.41,46.9,64.7,Moderate,NA
KWT,2022,47.42,29.42,53.43,80.26,42.53,18.78,44.18,Moderate,NA
QAT,2022,46.59,17.19,55.07,70.76,54.97,15.53,54.39,Moderate,NA
SAU,2022,45.46,29.52,51.4,30.19,60.79,52.5,58.33,Moderate,NA
OMN,2022,44.83,67.09,50.68,46.3,14.07,27.95,64.14,Moderate,NA
GCC,2023,48.29580000000001,34.401,51.415800000000004,39.56830000000001,57.00660000000001,55.84760000000001,62.3404,Moderate,gdp
BHR,2023,64.85,73.72,74.7,46.92,61.77,87.96,46.27,Good,NA
ARE,2023,53.68,62.85,61.9,31.61,44.93,59.66,74.58,Moderate,NA
QAT,2023,49,16.91,50.87,72.98,58.59,23.95,67.35,Moderate,NA
OMN,2023,47.13,68.25,50.89,45.4,18.62,31.39,73.55,Moderate,NA
SAU,2023,46.13,24.27,46.42,31.46,65.98,65.9,59.16,Moderate,NA
KWT,2023,46.02,29.55,56.12,62.79,44.62,28.8,45.26,Moderate,NA
GCC,2024,48.3344,32.4945,53.480700000000006,39.1276,57.61570000000001,58.43730000000001,59.4901,Moderate,gdp
BHR,2024,65.17,71.26,71.94,46.33,69.84,84.09,48.91,Good,NA
ARE,2024,53.86,62.85,65.18,29.97,44.93,61.4,71.32,Moderate,NA
QAT,2024,51.88,24.59,52.11,76,62.66,26.32,61.78,Moderate,NA
OMN,2024,47.88,68.25,55.17,45.32,18.62,36,68.11,Moderate,NA
KWT,2024,45.76,26.23,55.12,62.79,44.62,32.41,47.71,Moderate,NA
SAU,2024,45.52,19.84,48.65,30.65,65.98,68.73,56.26,Moderate,NA
